Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Jagung Tk Peternak,Beras Medium,Kedelai Biji Kering (Impor),Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi Murni,Daging Ayam Ras,Telur Ayam Ras,Gula Konsumsi,Minyak Goreng Kemasan Sederhana,Tepung Terigu (Curah),Minyak Goreng Curah,,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Garam Halus Beryodium,Tepung Terigu Kemasan (non-curah)
01/05/2023,,"31,6","27,5",84,0,"6,1",3,320,0,C,6.190,11.890,14.740,37.110,32.740,34.760,37.570,135.950,35.750,28.800,14.390,18.090,11.190,14.950,,39.650,36.350,34.320,11.190,13.710
02/05/2023,"24,2","33,6","27,1",85,0,"4,1",4,40,1,C,6.210,11.890,14.690,37.450,32.910,33.990,37.730,136.130,35.520,28.840,14.410,18.100,11.180,14.930,,39.700,35.790,35.210,11.200,13.750
03/05/2023,"24,2","33,4","26,3",90,"11,6","7,5",5,30,1,C,6.220,11.890,14.710,37.850,33.170,32.980,36.700,136.100,35.230,28.840,14.410,18.090,11.140,14.960,,39.870,36.230,35.290,11.180,13.720
04/05/2023,"24,2","32,5","26,8",88,"68,1","4,8",6,160,1,C,6.210,11.900,14.730,38.150,33.390,32.660,36.320,135.880,35.270,28.890,14.420,18.130,11.150,14.980,,39.770,36.040,35.030,11.330,13.740
05/05/2023,"24,6","33,8","27,3",86,8888,"5,5",4,270,1,C,6.220,11.870,14.630,38.120,33.390,31.870,35.680,135.900,34.960,28.840,14.400,18.050,11.120,14.940,,39.400,36.260,34.790,11.220,13.650
06/05/2023,"24,4","33,6","27,3",84,"0,2","7,2",4,190,1,C,6.220,11.890,14.650,38.350,33.670,32.080,36.330,135.850,35.100,28.940,14.410,18.120,11.160,14.940,,39.620,36.350,34.790,11.270,13.730
07/05/2023,"23,6","32,8","26,5",90,,"4,4",3,120,1,C,6.140,11.860,14.580,38.360,33.590,31.660,36.220,135.740,35.000,28.970,14.380,18.030,11.130,14.870,,40.010,36.330,35.150,11.370,13.710
08/05/2023,"23,8","31,7","26,3",90,"58,8","4,8",2,320,0,C,6.260,11.870,13.860,39.040,34.140,32.240,36.760,135.550,35.170,29.070,14.410,18.080,11.140,14.970,,39.860,36.360,35.100,11.190,13.710
09/05/2023,"23,2","32,6","28,2",80,"26,9","3,3",2,80,0,C,6.250,11.890,13.700,38.800,34.240,32.300,36.660,135.840,35.000,29.050,14.420,18.020,11.130,14.950,,39.820,36.310,35.140,11.230,13.710
10/05/2023,"23,1","33,6","28,3",80,0,"6,9",4,360,1,C,6.260,11.880,13.540,39.160,34.510,32.680,37.100,135.460,35.060,29.110,14.420,18.050,11.160,14.980,,39.770,36.430,35.080,11.380,13.710
